Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
1,1,0,Arc Lightning,Ugin's Fate Promos,,,,,,,,,,
1,0,1,Conclave Tribunal,Friday Night Magic,,,,,,,,,,
1,0,1,Demon of Catastrophes,Standard Showdown Promos,,,,,,,,,,
1,0,1,Growth Spiral,Friday Night Magic,,,,,,,,,,
1,0,1,Guttersnipe,Release Events,,,,,,,,,,
1,0,1,Llanowar Elves,Release Events,,,,,,,,,,
1,0,1,Sinister Sabotage,Friday Night Magic,,,,,,,,,,
1,1,0,Write into Being,Ugin's Fate Promos,,,,,,,,,,
1,0,1,"Zahid, Djinn of the Lamp",Launch Parties,,,,,,,,,,
1,0,1,Zhalfirin Void,League Promos,,,,,,,,,,
