Count,Name,Section,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint
4,Benalish Marshal,main,Dominaria,6,Mint,English,,,,,
2,Conclave Tribunal,main,Guilds of Ravnica,6,Mint,English,,,,,
4,Dauntless Bodyguard,main,Dominaria,14,Mint,English,,,,,
2,Deputy of Detention,main,Ravnica Allegiance,165,Mint,English,,,,,
1,Glacial Fortress,main,Magic 2012,227,Mint,English,,,,,
1,Glacial Fortress,main,Magic 2010,226,Mint,English,,,,,
2,Glacial Fortress,main,Magic 2011,225,Mint,English,,,,,
4,Hallowed Fountain,main,Ravnica Allegiance,251,Mint,English,,,,,
4,Healer's Hawk,main,Guilds of Ravnica,14,Mint,English,,,,,
4,History of Benalia,main,Dominaria,21,Mint,English,,,,,
3,Legion's Landing,main,Ixalan,22,Mint,English,,,,,
1,Legion's Landing,main,Ixalan,22,Mint,English,foil,,,,
12,Plains,main,Time Spiral,283,Mint,English,foil,,,,
4,Skymarcher Aspirant,main,Rivals of Ixalan,21,Mint,English,,,,,
4,Snubhorn Sentry,main,Rivals of Ixalan,23,,,,,,,
4,Tithe Taker,main,Ravnica Allegiance,27,,,,,,,
4,Venerated Loxodon,main,Guilds of Ravnica,30,Mint,English,,,,,
4,"Ajani, Adversary of Tyrants",scratchpad,Core Set 2019,3,,,,,,,
2,Baffling End,scratchpad,Rivals of Ixalan,1,,,,,,,
4,Bring to Trial,scratchpad,Ravnica Allegiance,5,,,,,,,
4,Citywide Bust,scratchpad,Guilds of Ravnica,4,,,,,,,
4,Demotion,scratchpad,Guilds of Ravnica,9,,,,,,,
1,Disdainful Stroke,scratchpad,Guilds of Ravnica,37,,,,,,,
4,"Dovin, Grand Arbiter",scratchpad,Ravnica Allegiance,167,Mint,English,,,,,
2,Essence Scatter,scratchpad,Core Set 2019,54,,,,,,,
2,Healer's Hawk,scratchpad,Guilds of Ravnica,14,,,,,,,
2,Hunted Witness,scratchpad,Guilds of Ravnica,15,,,,,,,
4,Ixalan's Binding,scratchpad,Ixalan,17,Mint,English,,,,,
4,Leonin Vanguard,scratchpad,Core Set 2019,22,,,,,,,
2,Negate,scratchpad,Battlebond,123,,,,,,,
4,Pride of Conquerors,scratchpad,Rivals of Ixalan,17,,,,,,,
3,Righteous Blow,scratchpad,Guilds of Ravnica,23,,,,,,,
4,Rustwing Falcon,scratchpad,Core Set 2019,36,,,,,,,
4,Seal Away,scratchpad,Dominaria,31,Mint,English,,,,,
4,Selective Snare,scratchpad,Guilds of Ravnica,53,,,,,,,
2,Slaughter the Strong,scratchpad,Rivals of Ixalan,22,,,,,,,
4,Snubhorn Sentry,scratchpad,Rivals of Ixalan,23,,,,,,,
2,Unbreakable Formation,scratchpad,Ravnica Allegiance,29,,,,,,,
2,"Ajani, Adversary of Tyrants",sideboard,Core Set 2019,3,,,,,,,
3,Baffling End,sideboard,Rivals of Ixalan,1,Mint,English,,,,,
1,Deputy of Detention,sideboard,Ravnica Allegiance,165,,,,,,,
1,Disdainful Stroke,sideboard,Guilds of Ravnica,37,,,,,,,
1,Island,sideboard,Unstable,213,Mint,English,,,,,
2,Negate,sideboard,Battlebond,123,,,,,,,
2,Spell Pierce,sideboard,Ixalan,81,,,,,,,
3,Tocatli Honor Guard,sideboard,Ixalan,42,,,,,,,
