Count,Name,Section,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint
4,Absorb,main,Ravnica Allegiance,151,Mint,English,,,,,
4,"Ajani, Adversary of Tyrants",main,Core Set 2019,3,Mint,English,,,,,
4,"Aurelia, Exemplar of Justice",main,Guilds of Ravnica,153,Mint,English,,,,,
4,Bounty Agent,main,Guilds of Ravnica,2,Mint,English,,,,,
4,Chance for Glory,main,Guilds of Ravnica,159,Mint,English,,,,,
4,Citywide Bust,main,Guilds of Ravnica,4,Mint,English,,,,,
4,Citywide Bust,main,Guilds of Ravnica,4,,,,,,,
4,Cleansing Nova,main,Core Set 2019,9,Mint,English,,,,,
4,Clifftop Retreat,main,Dominaria,239,Mint,English,,,,,
4,Dawn of Hope,main,Guilds of Ravnica,8,Mint,English,,,,,
4,Deafening Clarion,main,Guilds of Ravnica,165,Mint,English,,,,,
4,Deputy of Detention,main,Ravnica Allegiance,165,Mint,English,,,,,
4,"Dovin, Grand Arbiter",main,Ravnica Allegiance,167,Mint,English,,,,,
4,Light of the Legion,main,Guilds of Ravnica,19,Mint,English,,,,,
4,Mass Manipulation,main,Ravnica Allegiance,42,Mint,English,,,,,
4,Mentor of the Meek,main,Core Set 2019,27,Mint,English,,,,,
4,Narcomoeba,main,Guilds of Ravnica,47,Mint,English,,,,,
16,Plains,main,Time Spiral,283,Mint,English,foil,,,,
4,Plains,main,Prerelease Events,66,Mint,English,foil,,,,
12,Pteramander,main,Ravnica Allegiance,47,Mint,English,,,,,
4,Quasiduplicate,main,Guilds of Ravnica,51,Mint,English,,,,,
4,Response // Resurgence,main,Guilds of Ravnica,229,Mint,English,,,,,
4,Sacred Foundry,main,Guilds of Ravnica,254,Mint,English,,,,,
4,Settle the Wreckage,main,Ixalan,34,Mint,English,,,,,
4,Skewer the Critics,main,Ravnica Allegiance,115,Mint,English,,,,,
4,Tithe Taker,main,Ravnica Allegiance,27,Mint,English,,,,,
4,Tocatli Honor Guard,main,Ixalan,42,Mint,English,,,,,
4,Unbreakable Formation,main,Ravnica Allegiance,29,Mint,English,,,,,
