Count,Name,Section,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint
1,Baneslayer Angel,,,,,,,,,,
4,Battlefield Forge,,,,,,,,,,
1,Blast Zone,,,,,,,,,,
2,Celestial Purge,,,,,,,,,,
4,Censor,,,,,,,,,,
2,Day of Judgment,,,,,,,,,,
4,Dig Through Time,,,,,,,,,,
4,Disallow,,,,,,,,,,
2,"Elspeth, Sun's Champion",,,,,,,,,,
3,Force of Negation,,,,,,,,,,
2,Gideon of the Trials,,,,,,,,,,
4,Inspiring Vantage,,,,,,,,,,
3,"Jace, the Mind Sculptor",,,,,,,,,,
4,Kor Firewalker,,,,,,,,,,
2,Lyra Dawnbringer,,,,,,,,,,
4,Monastery Mentor,,,,,,,,,,
4,Monastery Swiftspear,,,,,,,,,,
4,Nyx-Fleece Ram,,,,,,,,,,
4,Pithing Needle,,,,,,,,,,
1,Polluted Delta,,,,,,,,,,
4,Rekindling Phoenix,,,,,,,,,,
1,Rest in Peace,,,,,,,,,,
4,Runed Halo,,,,,,,,,,
4,Search for Azcanta,,,,,,,,,,
4,Snapcaster Mage,,,,,,,,,,
4,Soul-Scar Mage,,,,,,,,,,
4,Spell Snare,,,,,,,,,,
4,Sphinx's Revelation,,,,,,,,,,
1,Stony Silence,,,,,,,,,,
3,Surgical Extraction,,,,,,,,,,
4,Temple of Enlightenment,,,,,,,,,,
3,Thing in the Ice,,,,,,,,,,
2,Vendilion Clique,,,,,,,,,,
4,Wear // Tear,,,,,,,,,,
4,Port Town,,,,,,,,,,
4,Irrigated Farmland,,,,,,,,,,
2,"Jace, Architect of Thought",,,,,,,,,,
4,Chart a Course,,,,,,,,,,
4,Noxious Grasp,,,,,,,,,,
